Sentence,Sentiment,cleaned_text,encoded_sentiment,stematized_text,lemmatized_text
Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .,positive,operating result including nonrecurring items rose to eur mn from a loss of eur mn in  ,1,oper result includ nonrecur item rose to eur mn from a loss of eur mn in,operating result including nonrecurring item rose to eur mn from a loss of eur mn in
"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .",positive,both operating profit and net sales for the threemonth period increased  respectively from eur  m and eur  m  as compared to the corresponding period in  ,1,both oper profit and net sale for the threemonth period increas respect from eur m and eur m as compar to the correspond period in,both operating profit and net sale for the threemonth period increased respectively from eur m and eur m a compared to the corresponding period in
Sainsbury's says to outperform rivals in tough market,positive,sainsburys says to outperform rivals in tough market,1,sainsburi say to outperform rival in tough market,sainsburys say to outperform rival in tough market
Finnish Outokumpu Technology has been awarded several new grinding technology contracts .,positive,finnish outokumpu technology has been awarded several new grinding technology contracts ,1,finnish outokumpu technolog ha been award sever new grind technolog contract,finnish outokumpu technology ha been awarded several new grinding technology contract
Starbucks' Digital Strategy To Drive Significant Growth With Customer Loyalty $SBUX https://t.co/Xk6lZ3UI3K,positive,starbucks digital strategy to drive significant growth with customer loyalty sbux httpstcoxklzuik,1,starbuck digit strategi to drive signific growth with custom loyalti sbux httpstcoxklzuik,starbucks digital strategy to drive significant growth with customer loyalty sbux httpstcoxklzuik
The soapstone deposits in the Medvezhyegorsk area are expected to increase Tulikivi 's current reserves considerably .,positive,the soapstone deposits in the medvezhyegorsk area are expected to increase tulikivi s current reserves considerably ,1,the soapston deposit in the medvezhyegorsk area are expect to increas tulikivi s current reserv consider,the soapstone deposit in the medvezhyegorsk area are expected to increase tulikivi s current reserve considerably
Hargreaves Lansdown share price falls as costs mount - although pensions ...,negative,hargreaves lansdown share price falls as costs mount  although pensions ,0,hargreav lansdown share price fall as cost mount although pension,hargreaves lansdown share price fall a cost mount although pension
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",positive,press serco set to appoint roy gardner excentrica as chairman  ft,1,press serco set to appoint roy gardner excentrica as chairman ft,press serco set to appoint roy gardner excentrica a chairman ft
Commencing the construction works of Pearl Plaza is a significant step in our Russian projects .,positive,commencing the construction works of pearl plaza is a significant step in our russian projects ,1,commenc the construct work of pearl plaza is a signific step in our russian project,commencing the construction work of pearl plaza is a significant step in our russian project
`` The announced investment of the carmaker Hyundai for example sounds optimistically for us as of course new cars mean new tires . '',positive, the announced investment of the carmaker hyundai for example sounds optimistically for us as of course new cars mean new tires  ,1,the announc invest of the carmak hyundai for exampl sound optimist for us as of cours new car mean new tire,the announced investment of the carmaker hyundai for example sound optimistically for u a of course new car mean new tire
"According to ACNielsen 's ScanTrack study for the period week 10 of 2005 to week 9 of 2006 , Coca-Cola is the market leader in soft drinks in Finland .",positive,according to acnielsen s scantrack study for the period week  of  to week  of   cocacola is the market leader in soft drinks in finland ,1,accord to acnielsen s scantrack studi for the period week of to week of cocacola is the market leader in soft drink in finland,according to acnielsen s scantrack study for the period week of to week of cocacola is the market leader in soft drink in finland
$YMI http://stks.co/Xyf Long setup. Closed above the 20MA. MACD cross. November catalyst.,positive,ymi httpstkscoxyf long setup closed above the ma macd cross november catalyst,1,ymi httpstkscoxyf long setup close abov the ma macd cross novemb catalyst,ymi httpstkscoxyf long setup closed above the ma macd cross november catalyst
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",negative,update bp settles oil spillrelated claims with halliburton transocean,0,updat bp settl oil spillrel claim with halliburton transocean,update bp settle oil spillrelated claim with halliburton transocean
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,positive,the cocacola company and cocacola femsa to acquire ades soybased beverage business from unilever,1,the cocacola compani and cocacola femsa to acquir ade soybas beverag busi from unilev,the cocacola company and cocacola femsa to acquire ade soybased beverage business from unilever
"We are honored to be acknowledged for our commitment to the industry , especially in Asia Pacific . ''",positive,we are honored to be acknowledged for our commitment to the industry  especially in asia pacific  ,1,we are honor to be acknowledg for our commit to the industri especi in asia pacif,we are honored to be acknowledged for our commitment to the industry especially in asia pacific
"However , sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia , Atria said .",positive,however  sales volumes in the food industry are expected to remain at relatively good levels in finland and in scandinavia  atria said ,1,howev sale volum in the food industri are expect to remain at rel good level in finland and in scandinavia atria said,however sale volume in the food industry are expected to remain at relatively good level in finland and in scandinavia atrium said
Current holdings via options - Long: $AAPL $V $GS $AET & Short: $VXX,positive,current holdings via options  long aapl v gs aet  short vxx,1,current hold via option long aapl v gs aet short vxx,current holding via option long aapl v g aet short vxx
$PCLN runs into the 50sma on the acquisition news,positive,pcln runs into the sma on the acquisition news,1,pcln run into the sma on the acquisit news,pcln run into the sma on the acquisition news
"Vaahto Pulp & Paper , of Finnish Vaahto Group , has been awarded an order to renovate Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland .",positive,vaahto pulp  paper  of finnish vaahto group  has been awarded an order to renovate finnishswedish forest industry company stora enso s paperboard machine at the ingerois board mill in finland ,1,vaahto pulp paper of finnish vaahto group ha been award an order to renov finnishswedish forest industri compani stora enso s paperboard machin at the ingeroi board mill in finland,vaahto pulp paper of finnish vaahto group ha been awarded an order to renovate finnishswedish forest industry company stora enso s paperboard machine at the ingerois board mill in finland
Nokia was up 0.12 pct to 16.70 eur after kicking off the morning in negative territory .,positive,nokia was up  pct to  eur after kicking off the morning in negative territory ,1,nokia wa up pct to eur after kick off the morn in neg territori,nokia wa up pct to eur after kicking off the morning in negative territory
$TZA is a rocket ship!!!,positive,tza is a rocket ship,1,tza is a rocket ship,tza is a rocket ship
"Finnish IT solutions provider Affecto Oyj said today that it has won a frame contract , valued at some EUR2m , to implement the next phase of its insurance application for South African Mutual & Federal Insurance Company Limited M&F .",positive,finnish it solutions provider affecto oyj said today that it has won a frame contract  valued at some eurm  to implement the next phase of its insurance application for south african mutual  federal insurance company limited mf ,1,finnish it solut provid affecto oyj said today that it ha won a frame contract valu at some eurm to implement the next phase of it insur applic for south african mutual feder insur compani limit mf,finnish it solution provider affecto oyj said today that it ha won a frame contract valued at some eurm to implement the next phase of it insurance application for south african mutual federal insurance company limited mf
Industry Investment is very interested in Glaston 's solar energy projects .,positive,industry investment is very interested in glaston s solar energy projects ,1,industri invest is veri interest in glaston s solar energi project,industry investment is very interested in glaston s solar energy project
Scanfil will execute the temporary lay-offs by mid-October 2009 and the job cuts by March 2010 .,negative,scanfil will execute the temporary layoffs by midoctober  and the job cuts by march  ,0,scanfil will execut the temporari layoff by midoctob and the job cut by march,scanfil will execute the temporary layoff by midoctober and the job cut by march
"Furthermore , our fully electrically driven cranes are environmentally friendly .",positive,furthermore  our fully electrically driven cranes are environmentally friendly ,1,furthermor our fulli electr driven crane are environment friendli,furthermore our fully electrically driven crane are environmentally friendly
Finnish-Swedish TietoEnator is expanding its business quickly in Russia .,positive,finnishswedish tietoenator is expanding its business quickly in russia ,1,finnishswedish tietoen is expand it busi quickli in russia,finnishswedish tietoenator is expanding it business quickly in russia
Added more $BBBY @jimcramer is wrong about this one. Still a very profitable merchant with profitable stores,positive,added more bbby jimcramer is wrong about this one still a very profitable merchant with profitable stores,1,ad more bbbi jimcram is wrong about thi one still a veri profit merchant with profit store,added more bbby jimcramer is wrong about this one still a very profitable merchant with profitable store
The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,positive,the fair value of the company s investment properties grew to eur  billion at the end of march  from eur  million a year ago ,1,the fair valu of the compani s invest properti grew to eur billion at the end of march from eur million a year ago,the fair value of the company s investment property grew to eur billion at the end of march from eur million a year ago
"`` We reached agreement with the union that flights will continue as normal , '' Finnair spokesman Usko Maatta said .",positive, we reached agreement with the union that flights will continue as normal   finnair spokesman usko maatta said ,1,we reach agreement with the union that flight will continu as normal finnair spokesman usko maatta said,we reached agreement with the union that flight will continue a normal finnair spokesman usko maatta said
$OSUR up 33% since 6/25 buy signal. resistance 5.33 - expect 1. pullback 2nd half of day or 2. break abov 5.33 & continue rally for 4-5 days,positive,osur up  since  buy signal resistance   expect  pullback nd half of day or  break abov   continue rally for  days,1,osur up sinc buy signal resist expect pullback nd half of day or break abov continu ralli for day,osur up since buy signal resistance expect pullback nd half of day or break abov continue rally for day
"The broker highlights Cargotec as its preferred stock in the sector , as it is a pure play on global cargo and container handling , and it expects it to play an active role in further consolidating the industry .",positive,the broker highlights cargotec as its preferred stock in the sector  as it is a pure play on global cargo and container handling  and it expects it to play an active role in further consolidating the industry ,1,the broker highlight cargotec as it prefer stock in the sector as it is a pure play on global cargo and contain handl and it expect it to play an activ role in further consolid the industri,the broker highlight cargotec a it preferred stock in the sector a it is a pure play on global cargo and container handling and it expects it to play an active role in further consolidating the industry
"The total headcount reduction will be 50 persons , the company said .",negative,the total headcount reduction will be  persons  the company said ,0,the total headcount reduct will be person the compani said,the total headcount reduction will be person the company said
The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .,negative,the net sales of the whole fiscal year  will be lower than in  and operating profit is estimated to be negative ,0,the net sale of the whole fiscal year will be lower than in and oper profit is estim to be neg,the net sale of the whole fiscal year will be lower than in and operating profit is estimated to be negative
Retailers Kingfisher and Sports Direct rise in Britain's share index,positive,retailers kingfisher and sports direct rise in britains share index,1,retail kingfish and sport direct rise in britain share index,retailer kingfisher and sport direct rise in britain share index
Persimmon share price climbs on 23% rise in full-year revenue,positive,persimmon share price climbs on  rise in fullyear revenue,1,persimmon share price climb on rise in fullyear revenu,persimmon share price climb on rise in fullyear revenue
Tesco's Sales Pickup Isn't Enough,negative,tescos sales pickup isnt enough,0,tesco sale pickup isnt enough,tescos sale pickup isnt enough
"The poorest index figure was given to Finnish power company Fortum , 4.5 .",negative,the poorest index figure was given to finnish power company fortum   ,0,the poorest index figur wa given to finnish power compani fortum,the poorest index figure wa given to finnish power company fortum
"The disposal of Autotank will also strengthen Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo .",positive,the disposal of autotank will also strengthen aspo s capital structure   commented gustav nyberg  ceo of aspo ,1,the dispos of autotank will also strengthen aspo s capit structur comment gustav nyberg ceo of aspo,the disposal of autotank will also strengthen aspo s capital structure commented gustav nyberg ceo of aspo
"Micron Technology Inc #NASDAQ: $MU down 2.3% today and down 8.9% since being put on ""The Short"" https://t.co/EQQLTfUiOU",negative,micron technology inc nasdaq mu down  today and down  since being put on the short httpstcoeqqltfuiou,0,micron technolog inc nasdaq mu down today and down sinc be put on the short httpstcoeqqltfuiou,micron technology inc nasdaq mu down today and down since being put on the short httpstcoeqqltfuiou
"`` I 'm pleased to receive the Nomination Committee 's request and confidence , '' says Jon Risfelt .",positive, i m pleased to receive the nomination committee s request and confidence   says jon risfelt ,1,i m pleas to receiv the nomin committe s request and confid say jon risfelt,i m pleased to receive the nomination committee s request and confidence say jon risfelt
"$AAPL Stock Climbs as Barron's Sees 40% Upside, Jim Cramer's Take  https://t.co/lKlD9mVKBQ",positive,aapl stock climbs as barrons sees  upside jim cramers take  httpstcolkldmvkbq,1,aapl stock climb as barron see upsid jim cramer take httpstcolkldmvkbq,aapl stock climb a barrons see upside jim cramers take httpstcolkldmvkbq
"The company also said on November 16 , 2006 its Real Estate Fund I Ky signed an agreement with Finnish window maker Fenestra Oy to build a window plant in Forssa , southern Finland .",positive,the company also said on november    its real estate fund i ky signed an agreement with finnish window maker fenestra oy to build a window plant in forssa  southern finland ,1,the compani also said on novemb it real estat fund i ky sign an agreement with finnish window maker fenestra oy to build a window plant in forssa southern finland,the company also said on november it real estate fund i ky signed an agreement with finnish window maker fenestra oy to build a window plant in forssa southern finland
"In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth .",positive,in the third quarter  net sales increased by   yearonyear to eur  million  or by   at comparable currency rates growth ,1,in the third quarter net sale increas by yearonyear to eur million or by at compar currenc rate growth,in the third quarter net sale increased by yearonyear to eur million or by at comparable currency rate growth
ITV to pursue takeover of Canada's Entertainment One: Bloomberg,positive,itv to pursue takeover of canadas entertainment one bloomberg,1,itv to pursu takeov of canada entertain one bloomberg,itv to pursue takeover of canada entertainment one bloomberg
AstraZeneca weighing up Acerta bid to secure blood cancer drug,positive,astrazeneca weighing up acerta bid to secure blood cancer drug,1,astrazeneca weigh up acerta bid to secur blood cancer drug,astrazeneca weighing up acerta bid to secure blood cancer drug
$HRL ready to pop! http://stks.co/s0Ny4,positive,hrl ready to pop httpstkscosny,1,hrl readi to pop httpstkscosni,hrl ready to pop httpstkscosny
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,positive,news feedftse  movers lse surges as ice says mulling offer ashtead and barclays tank,1,news feedfts mover lse surg as ice say mull offer ashtead and barclay tank,news feedftse mover lse surge a ice say mulling offer ashtead and barclays tank
"Sales VAT inclusive expanded by 19 percent , to 351 million euros .",positive,sales vat inclusive expanded by  percent  to  million euros ,1,sale vat inclus expand by percent to million euro,sale vat inclusive expanded by percent to million euro
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,positive,operating profit increased by   to eur  mn from eur  mn ,1,oper profit increas by to eur mn from eur mn,operating profit increased by to eur mn from eur mn
$AMRN It's accumulating. I think buy now or hold your peace. This should go up today/tomorrow.,positive,amrn its accumulating i think buy now or hold your peace this should go up todaytomorrow,1,amrn it accumul i think buy now or hold your peac thi should go up todaytomorrow,amrn it accumulating i think buy now or hold your peace this should go up todaytomorrow
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,positive,operating profit rose to eur  mn from eur  mn in the corresponding period in  ,1,oper profit rose to eur mn from eur mn in the correspond period in,operating profit rose to eur mn from eur mn in the corresponding period in
Last year SysOpen Digia invested in IBM product know-how in the building of portal and trading place systems and successfully implemented customer solutions supported by it .,positive,last year sysopen digia invested in ibm product knowhow in the building of portal and trading place systems and successfully implemented customer solutions supported by it ,1,last year sysopen digia invest in ibm product knowhow in the build of portal and trade place system and success implement custom solut support by it,last year sysopen digia invested in ibm product knowhow in the building of portal and trading place system and successfully implemented customer solution supported by it
"The currency effect had a 3.0 pct , or 20 mln euro ( $ 31.3 mln ) , negative impact on the revenue .",negative,the currency effect had a  pct  or  mln euro    mln   negative impact on the revenue ,0,the currenc effect had a pct or mln euro mln neg impact on the revenu,the currency effect had a pct or mln euro mln negative impact on the revenue
Operating profit margin increased from 11.2 % to 11.7 % .,positive,operating profit margin increased from   to   ,1,oper profit margin increas from to,operating profit margin increased from to
"Operating profit totalled EUR 1.22 mn , down from EUR 3.56 mn in the first quarter of 2008 .",negative,operating profit totalled eur  mn  down from eur  mn in the first quarter of  ,0,oper profit total eur mn down from eur mn in the first quarter of,operating profit totalled eur mn down from eur mn in the first quarter of
"$RUSS Don't catch falling knives, but I think an entry is coming soon on this",positive,russ dont catch falling knives but i think an entry is coming soon on this,1,russ dont catch fall knive but i think an entri is come soon on thi,rus dont catch falling knife but i think an entry is coming soon on this
"$WFM Bought a little yesterday, hoping for an earnings pop.",positive,wfm bought a little yesterday hoping for an earnings pop,1,wfm bought a littl yesterday hope for an earn pop,wfm bought a little yesterday hoping for an earnings pop
"The German company has also signed a code share agreement with another Oneworld member -- American Airlines Inc , part of US-based AMR Corp ( NYSE : AMR ) .",positive,the german company has also signed a code share agreement with another oneworld member  american airlines inc  part of usbased amr corp  nyse  amr  ,1,the german compani ha also sign a code share agreement with anoth oneworld member american airlin inc part of usbas amr corp nyse amr,the german company ha also signed a code share agreement with another oneworld member american airline inc part of usbased amr corp nyse amr
Borealis Infrastructure putting together new Severn Trent bid,positive,borealis infrastructure putting together new severn trent bid,1,boreali infrastructur put togeth new severn trent bid,borealis infrastructure putting together new severn trent bid
"Cooper SH , the UK distributor for lift equipment manufacturer Konecranes , won the five-year deal which involves low maintenance and fuel saving technologies .",positive,cooper sh  the uk distributor for lift equipment manufacturer konecranes  won the fiveyear deal which involves low maintenance and fuel saving technologies ,1,cooper sh the uk distributor for lift equip manufactur konecran won the fiveyear deal which involv low mainten and fuel save technolog,cooper sh the uk distributor for lift equipment manufacturer konecranes won the fiveyear deal which involves low maintenance and fuel saving technology
"$RXII Tang really is toxic, they keep bringing the share price down. At least they could let it climb a little before dragging it down.",negative,rxii tang really is toxic they keep bringing the share price down at least they could let it climb a little before dragging it down,0,rxii tang realli is toxic they keep bring the share price down at least they could let it climb a littl befor drag it down,rxii tang really is toxic they keep bringing the share price down at least they could let it climb a little before dragging it down
"RT FITZSTOCK2004: $IYT http://stks.co/1NBF the Transports always lead  the way, and  they broke DT  line  1st, MACD cross,  bull  flag=",positive,rt fitzstock iyt httpstksconbf the transports always lead  the way and  they broke dt  line  st macd cross  bull  flag,1,rt fitzstock iyt httpstksconbf the transport alway lead the way and they broke dt line st macd cross bull flag,rt fitzstock iyt httpstksconbf the transport always lead the way and they broke dt line st macd cross bull flag
"EBIT excluding non-recurring items , totalled EUR 67.8 mn , up from EUR 38.1 mn .",positive,ebit excluding nonrecurring items  totalled eur  mn  up from eur  mn ,1,ebit exclud nonrecur item total eur mn up from eur mn,ebit excluding nonrecurring item totalled eur mn up from eur mn
The diesel margin has remained high .,positive,the diesel margin has remained high ,1,the diesel margin ha remain high,the diesel margin ha remained high
Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 .,negative,operating loss totaled eur  mn compared to a profit of eur  mn in the corresponding period in  ,0,oper loss total eur mn compar to a profit of eur mn in the correspond period in,operating loss totaled eur mn compared to a profit of eur mn in the corresponding period in
"FTSE rallies off three-month low, boosted by StanChart, Sainsbury",positive,ftse rallies off threemonth low boosted by stanchart sainsbury,1,ftse ralli off threemonth low boost by stanchart sainsburi,ftse rally off threemonth low boosted by stanchart sainsbury
"The growth in the activeness of Talentum 's customers , which started at the end of 2009 , continued during the reporting period , the company stated .",positive,the growth in the activeness of talentum s customers  which started at the end of   continued during the reporting period  the company stated ,1,the growth in the activ of talentum s custom which start at the end of continu dure the report period the compani state,the growth in the activeness of talentum s customer which started at the end of continued during the reporting period the company stated
"The sale , which will result in a gain of some EUR 60 million in the second quarter of 2010 for Oriola-KD , supports the Finnish company 's strategy to focus on pharmaceutical wholesale and retail operations .",positive,the sale  which will result in a gain of some eur  million in the second quarter of  for oriolakd  supports the finnish company s strategy to focus on pharmaceutical wholesale and retail operations ,1,the sale which will result in a gain of some eur million in the second quarter of for oriolakd support the finnish compani s strategi to focu on pharmaceut wholesal and retail oper,the sale which will result in a gain of some eur million in the second quarter of for oriolakd support the finnish company s strategy to focus on pharmaceutical wholesale and retail operation
"It's a bad idea to make 5 min predictions based on faith: RT @dandyduct $AAPL Sell signal hit at 584, it will go down for the next 5 min",negative,its a bad idea to make  min predictions based on faith rt dandyduct aapl sell signal hit at  it will go down for the next  min,0,it a bad idea to make min predict base on faith rt dandyduct aapl sell signal hit at it will go down for the next min,it a bad idea to make min prediction based on faith rt dandyduct aapl sell signal hit at it will go down for the next min
"$ENDP exit reversal .11 X 3K shares = $330 - now Long - not getting follow through, either side of price action",positive,endp exit reversal  x k shares    now long  not getting follow through either side of price action,1,endp exit revers x k share now long not get follow through either side of price action,endp exit reversal x k share now long not getting follow through either side of price action
ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,positive,itv share price jumps on report of comcasts nbcuniversal bidding to takeover ,1,itv share price jump on report of comcast nbcunivers bid to takeov,itv share price jump on report of comcasts nbcuniversal bidding to takeover
"ASPO Plc STOCK EXCHANGE ANNOUNCEMENT May 4 , 2006 at 10:00 a.m. An increase in the share capital of Aspo Plc totaling EUR 1,125.60 was registered today .",positive,aspo plc stock exchange announcement may    at  am an increase in the share capital of aspo plc totaling eur  was registered today ,1,aspo plc stock exchang announc may at am an increas in the share capit of aspo plc total eur wa regist today,aspo plc stock exchange announcement may at am an increase in the share capital of aspo plc totaling eur wa registered today
"Comptel , a vendor of dynamic Operations Support System ( OSS ) software , has been selected by Orascom Telecom ( OTH ) as partner for provisioning and activation solutions for mobile services .",positive,comptel  a vendor of dynamic operations support system  oss  software  has been selected by orascom telecom  oth  as partner for provisioning and activation solutions for mobile services ,1,comptel a vendor of dynam oper support system oss softwar ha been select by orascom telecom oth as partner for provis and activ solut for mobil servic,comptel a vendor of dynamic operation support system os software ha been selected by orascom telecom oth a partner for provisioning and activation solution for mobile service
$AAPL I am big OUT from this. seems its falling towards 530.. :(,negative,aapl i am big out from this seems its falling towards  ,0,aapl i am big out from thi seem it fall toward,aapl i am big out from this seems it falling towards
Finnish sports equipment maker Amer Sports Oyj ( HEL : AMEAS ) said today that its net loss narrowed to EUR 16.9 million ( USD 22.3 m ) in the second quarter of 2010 from EUR 23.2 million in the corresponding period a year earlier .,positive,finnish sports equipment maker amer sports oyj  hel  ameas  said today that its net loss narrowed to eur  million  usd  m  in the second quarter of  from eur  million in the corresponding period a year earlier ,1,finnish sport equip maker amer sport oyj hel amea said today that it net loss narrow to eur million usd m in the second quarter of from eur million in the correspond period a year earlier,finnish sport equipment maker amer sport oyj hel ameas said today that it net loss narrowed to eur million usd m in the second quarter of from eur million in the corresponding period a year earlier
"Return on investment was 5.0 % , compared to a negative 4.1 % in 2009 .",positive,return on investment was    compared to a negative   in  ,1,return on invest wa compar to a neg in,return on investment wa compared to a negative in
5 Best Analyst Rated Stocks in Last 72hrs: $ORCL $AAPL $CBS $INO $CPXX View all ratings here: https://t.co/IRID6zd5gc,positive, best analyst rated stocks in last hrs orcl aapl cbs ino cpxx view all ratings here httpstcoiridzdgc,1,best analyst rate stock in last hr orcl aapl cb ino cpxx view all rate here httpstcoiridzdgc,best analyst rated stock in last hr orcl aapl cbs ino cpxx view all rating here httpstcoiridzdgc
"UPDATE: Persimmon Profit Up Strongly, Outlook Positive",positive,update persimmon profit up strongly outlook positive,1,updat persimmon profit up strongli outlook posit,update persimmon profit up strongly outlook positive
"RPT-Old Mutual Q1 gross sales beat forecasts, up 18 pct",positive,rptold mutual q gross sales beat forecasts up  pct,1,rptold mutual q gross sale beat forecast up pct,rptold mutual q gross sale beat forecast up pct
"@sharkbiotech If anyone is selling/shorting $AGN b/c you believe $ENDP rumors to be realistic, then I'll take the other side of that trade",positive,sharkbiotech if anyone is sellingshorting agn bc you believe endp rumors to be realistic then ill take the other side of that trade,1,sharkbiotech if anyon is sellingshort agn bc you believ endp rumor to be realist then ill take the other side of that trade,sharkbiotech if anyone is sellingshorting agn bc you believe endp rumor to be realistic then ill take the other side of that trade
$PYPL great vol flow trade here.. Love this company long time.,positive,pypl great vol flow trade here love this company long time,1,pypl great vol flow trade here love thi compani long time,pypl great vol flow trade here love this company long time
$V A potential bearish shark pattern if point B $226 to be taken out. http://stks.co/i0GGH,negative,v a potential bearish shark pattern if point b  to be taken out httpstkscoiggh,0,v a potenti bearish shark pattern if point b to be taken out httpstkscoiggh,v a potential bearish shark pattern if point b to be taken out httpstkscoiggh
"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .",positive,both operating profit and turnover for the ninemonth period increased  respectively from eur  m and eur  m  as compared to the corresponding period a year ago ,1,both oper profit and turnov for the ninemonth period increas respect from eur m and eur m as compar to the correspond period a year ago,both operating profit and turnover for the ninemonth period increased respectively from eur m and eur m a compared to the corresponding period a year ago
Productional situation has now improved .,positive,productional situation has now improved ,1,product situat ha now improv,productional situation ha now improved
"For the full 2010 the company expects its net sales and operating result to improve from the previous year , saying that a positive operating result and its amount will depend on the order intake by the end of the summer .",positive,for the full  the company expects its net sales and operating result to improve from the previous year  saying that a positive operating result and its amount will depend on the order intake by the end of the summer ,1,for the full the compani expect it net sale and oper result to improv from the previou year say that a posit oper result and it amount will depend on the order intak by the end of the summer,for the full the company expects it net sale and operating result to improve from the previous year saying that a positive operating result and it amount will depend on the order intake by the end of the summer
Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .,positive,finnish metal products company componenta oyj net profit rose to  mln euro    mln  for the first quarter of  from  mln euro    mln  for the same period of  ,1,finnish metal product compani componenta oyj net profit rose to mln euro mln for the first quarter of from mln euro mln for the same period of,finnish metal product company componenta oyj net profit rose to mln euro mln for the first quarter of from mln euro mln for the same period of
"So as of today's close (8/15/14), I'm long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term, technical swing long basis.",positive,so as of todays close  im long tsla amtd twtr fb aapl celg  all on a longerterm technical swing long basis,1,so as of today close im long tsla amtd twtr fb aapl celg all on a longerterm technic swing long basi,so a of today close im long tsla amtd twtr fb aapl celg all on a longerterm technical swing long basis
The new technology improves the glass quality and consistency while increasing throughput .,positive,the new technology improves the glass quality and consistency while increasing throughput ,1,the new technolog improv the glass qualiti and consist while increas throughput,the new technology improves the glass quality and consistency while increasing throughput
LONDON MarketWatch -- Nokia nok said it 's won a five-year services contract to run Hutchison Essar 's network operations in nine locations in India .,positive,london marketwatch  nokia nok said it s won a fiveyear services contract to run hutchison essar s network operations in nine locations in india ,1,london marketwatch nokia nok said it s won a fiveyear servic contract to run hutchison essar s network oper in nine locat in india,london marketwatch nokia nok said it s won a fiveyear service contract to run hutchison essar s network operation in nine location in india
"@SOULLOR the regular scrappy Q $SWY usually presents. Sales weak, margins down, debt still way up.",negative,soullor the regular scrappy q swy usually presents sales weak margins down debt still way up,0,soullor the regular scrappi q swi usual present sale weak margin down debt still way up,soullor the regular scrappy q swy usually present sale weak margin down debt still way up
"Operating profit margin was 8.3 % , compared to 11.8 % a year earlier .",negative,operating profit margin was    compared to   a year earlier ,0,oper profit margin wa compar to a year earlier,operating profit margin wa compared to a year earlier
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,consolidated net sales increased   to reach eur  m  while operating profit amounted to eur  m compared to a loss of eur  m in the prior year period ,1,consolid net sale increas to reach eur m while oper profit amount to eur m compar to a loss of eur m in the prior year period,consolidated net sale increased to reach eur m while operating profit amounted to eur m compared to a loss of eur m in the prior year period
The measures result from weak demand in the shipbuilding industry .,negative,the measures result from weak demand in the shipbuilding industry ,0,the measur result from weak demand in the shipbuild industri,the measure result from weak demand in the shipbuilding industry
"In addition to the demand in Finland , the export of lining stone products also increased .",positive,in addition to the demand in finland  the export of lining stone products also increased ,1,in addit to the demand in finland the export of line stone product also increas,in addition to the demand in finland the export of lining stone product also increased
The current reference grade instruments are challenging to operate due to their high price and complexity for routine use .,negative,the current reference grade instruments are challenging to operate due to their high price and complexity for routine use ,0,the current refer grade instrument are challeng to oper due to their high price and complex for routin use,the current reference grade instrument are challenging to operate due to their high price and complexity for routine use
EUR/USD Finding Support Near 1.10 Level $ERO $UUP $UDN $FXE  http://stks.co/b29eU,positive,eurusd finding support near  level ero uup udn fxe  httpstkscobeu,1,eurusd find support near level ero uup udn fxe httpstkscobeu,eurusd finding support near level ero uup udn fxe httpstkscobeu
"Britain's FTSE bounces back, Mondi and Barratt lead",positive,britains ftse bounces back mondi and barratt lead,1,britain ftse bounc back mondi and barratt lead,britain ftse bounce back mondi and barratt lead
"Ragutis , controlled by the Finnish brewery Olvi , achieved a 5.7 percent rise in beer sales to 22.6 million liters and held a 10.75 percent market share .",positive,ragutis  controlled by the finnish brewery olvi  achieved a  percent rise in beer sales to  million liters and held a  percent market share ,1,raguti control by the finnish breweri olvi achiev a percent rise in beer sale to million liter and held a percent market share,ragutis controlled by the finnish brewery olvi achieved a percent rise in beer sale to million liter and held a percent market share
